text,label
"Chocolate cures all diseases",0
"Aliens invade New York City",0
"Teleportation device sold online",0
"Government approves new education policy",1
"Scientists discover new element",1
"New study confirms that coffee improves memory",1
"Politician secretly controls the moon",0
"Time travel device invented in garage",0
"Company announces record profits this year",1
"Water turns into gold with new device",0
"Chocolate increases lifespan by 50 years",0
"New library opens downtown for students",1
"Man grows wings overnight",0
"Local football team wins championship",1
"Fake claims about COVID-19 cure spread online",0
