title,text,subject,date
"Aliens invade New York City","Reports claim that aliens landed in New York City last night, causing panic among residents. Scientists confirm this is false.",worldNews,"January 1, 2020"
"Cure for COVID-19 found in household spices","A viral post claims that turmeric and garlic can cure COVID-19, but health authorities deny this.",healthNews,"March 15, 2020"
"Politician secretly controls the moon","A fake report circulates that a famous politician has a secret moon base, spreading conspiracy theories.",politicsNews,"February 5, 2020"
"Time travel device invented in garage","Social media spreads news about a man claiming he built a time machine, but it's completely fake.",techNews,"April 10, 2020"
"Chocolate increases lifespan by 50 years","A false article claims eating chocolate daily can make humans live 150 years.",healthNews,"May 22, 2020"
"Dinosaurs spotted in remote forest","A viral video claims dinosaurs were found alive in a remote forest. Scientists confirm this is fake.",worldNews,"June 12, 2020"
"Shark attacks in city swimming pool","News reports a shark attacking swimmers in an urban pool; it is a hoax.",worldNews,"July 5, 2020"
"Phone charger causes instant cancer","Social media spreads a claim that charging phones overnight causes instant cancer; health authorities deny this.",techNews,"August 20, 2020"
"Man claims he can control weather","A viral story spreads about a man claiming to control rain and storms; it is completely false.",worldNews,"September 10, 2020"
"Vaccines contain microchips","A fake post claims vaccines contain microchips for tracking; health authorities confirm this is false.",healthNews,"October 15, 2020"
"Moon landing was filmed on Mars","A conspiracy theory claims the moon landing was filmed on Mars; this is false.",scienceNews,"November 5, 2020"
"New species of unicorn discovered","An article claims a new species of unicorn was found in the Himalayas; this is fake.",worldNews,"December 1, 2020"
"Drinking soda gives superpowers","A viral post claims drinking soda daily grants superhuman strength; scientists deny this.",healthNews,"January 10, 2021"
"Politician uses secret cloning machine","Fake news spreads that a politician is cloning themselves for political gain.",politicsNews,"February 20, 2021"
"Secret portal to another dimension opened","A hoax article claims a secret portal was opened in Europe; scientists confirm it is fake.",techNews,"March 18, 2021"
"Coffee cures all diseases","False claims spread that drinking coffee cures all illnesses; health experts deny it.",healthNews,"April 12, 2021"
"Scientists discover telepathy pills","A viral story claims a pill can grant telepathy; completely false.",scienceNews,"May 7, 2021"
"New city built underwater","A news hoax claims a city has been built underwater; it is fake.",worldNews,"June 22, 2021"
"Robot takes over parliament","Fake news claims a robot replaced politicians in parliament; it is false.",techNews,"July 14, 2021"
"Chocolate cures COVID-19","A viral post claims chocolate cures COVID-19; health authorities deny this.",healthNews,"August 5, 2021"
"Politician found on Mars colony","Fake news spreads that a politician secretly lives on Mars; entirely false.",politicsNews,"September 9, 2021"
"New planet made of candy discovered","A hoax article claims astronomers found a planet made entirely of candy; it is fake.",scienceNews,"October 1, 2021"
"Smartphone predicts lottery numbers","Fake news claims a new smartphone app predicts lottery numbers; false.",techNews,"November 11, 2021"
"Aliens teach humans advanced math","A viral story claims aliens landed to teach math to humans; it is fake.",worldNews,"December 7, 2021"
"Drink water backwards to lose weight","False viral trend claims drinking water backwards burns fat; health experts deny it.",healthNews,"January 15, 2022"
"Politician secretly controls weather","A hoax claims a politician controls storms using satellites; false.",politicsNews,"February 2, 2022"
"Flying car crashes into White House","Fake news claims a flying car crashed into the White House; entirely false.",techNews,"March 20, 2022"
"Scientists cloned a dragon","A fake story claims scientists successfully cloned a dragon; false.",scienceNews,"April 8, 2022"
"Chocolate heals broken bones","A viral post claims chocolate can heal fractures; health authorities deny it.",healthNews,"May 30, 2022"
"New continent discovered overnight","A hoax article claims a new continent appeared suddenly; completely false.",worldNews,"June 18, 2022"
"AI politician wins election","Fake news claims an AI candidate won a national election; false.",techNews,"July 25, 2022"
"Secret cure for all diseases found","False article claims a universal cure exists; health authorities deny it.",healthNews,"August 12, 2022"
"Politician time travels to avoid scandal","A fake story claims a politician time-traveled to escape scandal; entirely false.",politicsNews,"September 3, 2022"
"Moon made of cheese confirmed","A viral post claims the Moon is made of cheese; science confirms it is false.",scienceNews,"October 21, 2022"
"Aliens hack global internet","Fake news claims aliens hacked the internet worldwide; entirely false.",techNews,"November 9, 2022"
"Chocolate makes you immortal","A hoax claims chocolate grants immortality; false.",healthNews,"December 1, 2022"
"Politician controls minds remotely","Fake news spreads that a politician can control minds remotely; false.",politicsNews,"January 10, 2023"
"New species of invisible birds discovered","A hoax article claims invisible birds exist; false.",scienceNews,"February 14, 2023"
"Time machine used by celebrities","Fake news claims celebrities use time machines; false.",techNews,"March 5, 2023"
"Drink sunlight to gain energy","Viral post claims drinking sunlight boosts energy; false.",healthNews,"April 20, 2023"
"Secret underwater city found","A hoax article claims an underwater city was found; false.",worldNews,"May 17, 2023"
"Politician has superpowers","Fake news claims a politician has superpowers; false.",politicsNews,"June 9, 2023"
"Flying pigs seen in city park","A viral story claims flying pigs were spotted; completely fake.",worldNews,"July 1, 2023"
"Smartphone can read minds","A fake news post claims smartphones can read thoughts; false.",techNews,"August 15, 2023"
"Chocolate prevents aging","A hoax claims chocolate prevents aging; health authorities deny it.",healthNews,"September 6, 2023"
"Alien virus discovered on Earth","Fake news claims aliens left a virus on Earth; false.",scienceNews,"October 20, 2023"
"Politician cloned for elections","A viral post claims a politician cloned themselves; false.",politicsNews,"November 12, 2023"
"Teleportation device sold online","Fake news claims a teleportation machine is sold online; entirely false.",techNews,"December 3, 2023"
